"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,097","70.68%","119","57.21%","1,216","69.09%"
"White","448","28.87%","88","42.31%","536","30.45%"
"Hispanic","4","0.26%","1","0.48%","5","0.28%"
"Native American","1","0.06%","0","0.00%","1","0.06%"
"Asian","2","0.13%","0","0.00%","21","0.11%"
"TOTAL","1,552","100.00%","208","100.00%","1,760","100.00%"
