"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4519","62.19%","407","35.27%","4926","58.50%"
"White","2694","37.07%","733","63.52%","3427","40.70%"
"Hispanic","26",".36%","10",".87%","36",".43%"
"Native American","11",".15%","2",".17%","13",".15%"
"Asian","14",".19%","2",".17%","16",".19%"
"unknown","3",".04%","0",".00%","3",".04%"
"TOTAL","7267","100.00%","1154","100.00%","8421","100.00%"
