"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3687","66.94%","512","44.95%","4199","63.17%"
"White","1786","32.43%","620","54.43%","2406","36.20%"
"Hispanic","27",".49%","5",".44%","32",".48%"
"Native American","1",".02%","1",".09%","2",".03%"
"Asian","5",".09%","0",".00%","5",".08%"
"Data Unavailable","2",".04%","1",".09%","3",".05%"
"TOTAL","5508","100.00%","1139","100.00%","6647","100.00%"
