"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3585","64.49%","456","39.96%","4041","60.31%"
"White","1938","34.86%","674","59.07%","2612","38.99%"
"Hispanic","21",".38%","7",".61%","28",".42%"
"Native American","5",".09%","2",".18%","7",".10%"
"Asian","6",".11%","1",".09%","7",".10%"
"Data Unavailable","4",".07%","1",".09%","5",".07%"
"TOTAL","5559","100.00%","1141","100.00%","6700","100.00%"
