"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3,640","66.36%","530","45.18%","4,170","62.63%"
"White","1,812","33.04%","636","54.22%","2,448","36.77%"
"Hispanic","24",".44%","4",".34%","28",".42%"
"Native American","2",".04%","1",".09%","3",".05%"
"Asian","5",".09%","1",".09%","6",".09%"
"Data Unavailable","2",".04%","1",".09%","3",".05%"
"TOTAL","5,485","100.00%","1,173","100.00%","6,658","100.00%"
