"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1194","72.72%","124","56.62%","1318","70.82%"
"White","435","26.49%","94","42.92%","529","28.43%"
"Hispanic","12","0.73%","1","0.46%","13","0.70%"
"Native American","1","0.06%","0","0.00%","1","0.05%"
"Asian","0","0.00%","0","0.00%","01","0.00%"
"TOTAL","1642","100.00%","219","100.00%","1861","100.00%"
