"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3696","65.16%","511","44.09%","4207","61.59%"
"White","1940","34.20%","638","55.05%","2578","37.74%"
"Hispanic","23",".41%","6",".52%","29",".42%"
"Native American","2",".04%","3",".26%","5",".07%"
"Asian","8",".14%","1",".09%","9",".13%"
"Data Unavailable","3",".05%","0",".00%","3",".04%"
"TOTAL","5672","100.00%","1159","100.00%","6831","100.00%"
