"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,143","71.57%","121","55.25%","1,264","69.60%"
"White","445","27.86%","97","44.29%","542","29.85%"
"Hispanic","5","0.31%","1","0.46%","6","0.33%"
"Native American","2","0.13%","0","0.00%","2","0.11%"
"Asian","2","0.13%","0","0.00%","22","0.11%"
"TOTAL","1,597","100.00%","219","100.00%","1,816","100.00%"
