"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1245","59.54%","159","40.05%","1404","56.43%"
"White","826","39.50%","231","58.19%","1057","42.48%"
"Hispanic","10","0.48%","5","1.26%","15","0.60%"
"Native American","5","0.24%","0","0.00%","5","0.20%"
"Asian","3","0.14%","2","0.50%","5","0.20%"
"Data Unavailable","2","0.00%","0","0.00%","2","0.08%"
"TOTAL","2091","99.90%","397","100.00%","2488","100.00%"
