"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3493","62.23%","472","38.22%","3965","57.90%"
"White","2077","37.00%","750","60.73%","2827","41.28%"
"Hispanic","23",".41%","10",".81%","33",".48%"
"Native American","4",".07%","1",".08%","5",".07%"
"Asian","12",".21%","1",".08%","13",".19%"
"unknown","4",".07%","1",".08%","5",".07%"
"TOTAL","5613","100.00%","1235","100.00%","6848","100.00%"
