"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,188","72.04%","128","56.14%","1,316","70.11%"
"White","448","27.17%","99","43.42%","547","29.14%"
"Hispanic","9","0.55%","1","0.44%","10","0.53%"
"Native American","2","0.12%","0","0.00%","2","0.11%"
"Asian","2","0.12%","0","0.00%","22","0.11%"
"TOTAL","1,649","100.00%","228","100.00%","1,877","100.00%"
