"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","2933","66.27%","416","45.37%","3349","62.68%"
"White","1468","33.17%","491","53.54%","1959","36.66%"
"Hispanic","16","0.36%","4","0.44%","20","0.37%"
"Native American","2","0.05%","4","0.44%","6","0.11%"
"Asian","4","0.09%","1","0.11%","5","0.09%"
"unknown","3","0.07%","1","0.11%","4","0.07%"
"TOTAL","4426","100.00%","917","100.00%","5343","100.00%"
