"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3666","67.35%","498","44.91%","4164","63.55%"
"White","1743","32.02%","606","54.64%","2349","35.85%"
"Hispanic","25",".46%","3",".27%","28",".43%"
"Native American","1",".02%","1",".09%","2",".03%"
"Asian","6",".11%","0",".00%","6",".09%"
"Data Unavailable","2",".04%","1",".09%","3",".05%"
"TOTAL","5443","100.00%","1109","100.00%","6552","100.00%"
