"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3706","65.56%","530","45.07%","4236","62.03%"
"White","1910","33.79%","636","54.08%","2546","37.28%"
"Hispanic","25",".44%","5",".43%","30",".44%"
"Native American","2",".04%","3",".26%","5",".07%"
"Asian","8",".14%","1",".09%","9",".13%"
"Data Unavailable","2",".04%","1",".09%","3",".04%"
"TOTAL","5653","100.00%","1176","100.00%","6829","100.00%"
