"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1178","59.92%","155","37.90%","1333","56.13%"
"White","771","39.22%","249","60.88%","1020","42.95%"
"Hispanic","9","0.46%","4","0.98%","13","0.55%"
"Native American","5","0.25%","1","0.24%","6","0.25%"
"Asian","3","0.15%","0","0.00%","3","0.13%"
"unknown","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","1966","100.00%","409","100.00%","2375","100.00%"
