"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,204","60.08%","158","37.44%","1,362","56.14%"
"White","788","39.32%","259","61.37%","1,047","43.16%"
"Hispanic","5","0.25%","4","0.95%","9","0.37%"
"Native American","6","0.30%","1","0.24%","7","0.29%"
"Asian","1","0.05%","0","0.00%","1","0.04%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2,004","100.00%","422","100.00%","2,426","100.00%"
