"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3409","63.47%","449","39.25%","3858","59.22%"
"White","1920","35.75%","686","59.97%","2606","40.00%"
"Hispanic","24",".45%","7",".61%","31",".48%"
"Native American","7",".13%","2",".17%","9",".14%"
"Asian","7",".13%","0",".00%","7",".11%"
"unknown","4",".07%","0",".00%","4",".06%"
"TOTAL","5371","100.00%","1144","100.00%","6515","100.00%"
