race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
"Black","4,742","58.25%","365","28.54%","5,107","54.21%"
"White","3,324","40.83%","907","70.91%","4,231","44.92%"
"Hispanic","46",".57%","3",".23%","49",".52%"
"Native American","10",".12%","2",".16%","12",".13%"
"Asian","19",".23%","2",".16%","21",".22%"
"Data Unavailable","0",".00%","0",".00%","0",".00%"
"TOTAL","8,141","100.00%","1,279","100.00%","9,420","100.00%"
