"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4369","62.44%","416","35.28%","4785","58.52%"
"White","2575","36.80%","750","63.61%","3325","40.67%"
"Hispanic","27",".39%","9",".76%","36",".44%"
"Native American","8",".11%","2",".17%","10",".12%"
"Asian","15",".21%","1",".08%","16",".20%"
"unknown","3",".04%","1",".08%","4",".05%"
"TOTAL","6997","100.00%","1179","100.00%","8176","100.00%"
