"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1200","60.15%","165","38.19%","1365","56.24%"
"White","781","39.15%","262","60.65%","1043","42.97%"
"Hispanic","8","0.40%","4","0.93%","12","0.49%"
"Native American","5","0.25%","1","0.23%","6","0.25%"
"Asian","1","0.05%","0","0.00%","1","0.04%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","1995","100.00%","432","100.00%","2427","100.00%"
