"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1245","59.63%","148","37.66%","1393","56.15%"
"White","826","39.56%","238","60.56%","1064","42.89%"
"Hispanic","9","0.43%","5","1.27%","14","0.56%"
"Native American","4","0.19%","0","0.00%","4","0.16%"
"Asian","2","0.10%","1","0.25%","3","0.12%"
"unknown","2","0.10%","1","0.25%","3","0.12%"
"TOTAL","2088","100.00%","393","100.00%","2481","100.00%"
