"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3616","67.65%","490","45.33%","4106","63.90%"
"White","1697","31.75%","585","54.12%","2282","35.51%"
"Hispanic","25",".47%","3",".28%","28",".44%"
"Native American","2",".04%","2",".19%","4",".06%"
"Asian","4",".07%","0",".00%","4",".06%"
"Data Unavailable","1",".02%","1",".09%","2",".03%"
"TOTAL","5345","100.00%","1081","100.00%","6426","100.00%"
