"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3750","64.49%","511","42.44%","4261","60.71%"
"White","2026","34.84%","684","56.81%","2710","38.61%"
"Hispanic","20",".34%","6",".50%","26",".37%"
"Native American","6",".10%","2",".17%","8",".11%"
"Asian","11",".19%","1",".08%","12",".17%"
"Data Unavailable","2",".03%","0",".00%","2",".03%"
"TOTAL","5815","100.00%","1204","100.00%","7019","100.00%"
