"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,147","64.15%","133","42.90%","1,280","61.01%"
"White","627","35.07%","171","55.16%","798","38.04%"
"Hispanic","8","0.45%","4","1.29%","12","0.57%"
"Native American","3","0.17%","0","0.00%","3","0.14%"
"Asian","1","0.06%","2","0.65%","3","0.14%"
"Data Unavailable","2","0.11%","0","0.00%","2","0.10%"
"TOTAL","1,788","100.00%","310","100.00%","2,098","100.00%"
