race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
Black,4648,59.14%,360,28.50%,5008,54.90%
White,3136,39.90%,893,70.70%,4029,44.17%
Hispanic,37,0.47%,3,0.24%,40,0.44%
Native American,11,0.14%,2,0.16%,13,0.14%
Asian,26,0.33%,4,0.32%,30,0.33%
Data Unavailable,1,0.01%,1,0.08%,2,0.02%
TOTAL,7859,100.00%,1263,100.00%,9122,100.00%
