"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1203","60.15%","152","37.53%","1355","56.34%"
"White","778","38.90%","245","60.49%","1023","42.54%"
"Hispanic","9","0.45%","6","1.48%","15","0.62%"
"Native American","5","0.25%","0","0.00%","5","0.21%"
"Asian","3","0.15%","2","0.49%","5","0.21%"
"Data Unavailable","2","0.10%","0","0.00%","2","0.08%"
"TOTAL","2000","100.00%","405","100.00%","2405","100.00%"
