"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1055","66.69%","129","55.13%","1184","65.20%"
"White","514","32.49%","103","44.02%","617","33.98%"
"Hispanic","11","0.70%","2","0.85%","13","0.72%"
"Native American","1","0.06%","0","0.00%","11","0.06%"
"Asian","1","0.06%","0","0.00%","1","0.06%"
"TOTAL","1582","100.00%","234","100.00%","1816","100.00%"
