"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3337","62.60%","442","37.55%","3779","58.07%"
"White","1954","36.65%","723","61.43%","2677","41.13%"
"Hispanic","22",".41%","10",".85%","32",".49%"
"Native American","5",".09%","2",".17%","7",".11%"
"Asian","9",".17%","0",".00%","9",".14%"
"unknown","4",".08%","0",".00%","4",".06%"
"TOTAL","5331","100.00%","1177","100.00%","6508","100.00%"
