"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1877","62.63%","263","41.29%","2140","58.89%"
"White","1100","36.70%","369","57.93%","1469","40.42%"
"Hispanic","10","0.33%","2","0.31%","12","0.33%"
"Native American","6","0.20%","3","0.47%","9","0.25%"
"Asian","1","0.03%","0","0.00%","1","0.03%"
"unknown","3","0.10%","0","0.00%","3","0.08%"
"TOTAL","2997","100.00%","637","100.00%","3634","100.00%"
