"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1154","73.69%","114","57.29%","1268","71.84%"
"White","398","25.42%","83","41.71%","481","27.25%"
"Hispanic","12","0.77%","2","1.01%","14","0.79%"
"Native American","1","0.06%","0","0.00%","1","0.06%"
"Asian","1","0.06%","0","0.00%","11","0.06%"
"TOTAL","1566","100.00%","199","100.00%","1765","100.00%"
