"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,172","60.26%","154","38.79%","1,326","56.62%"
"White","756","38.87%","238","59.95%","994","42.44%"
"Hispanic","8","0.41%","5","1.26%","13","0.56%"
"Native American","4","0.21%","0","0.00%","4","0.17%"
"Asian","3","0.15%","0","0.00%","3","0.13%"
"Data Unavailable","2","0.10%","0","0.00%","2","0.09%"
"TOTAL","1,945","100.00%","397","100.00%","2,342","100.00%"
