"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3685","64.47%","486","40.77%","4171","60.38%"
"White","1992","34.85%","697","58.47%","2689","38.93%"
"Hispanic","20",".35%","6",".50%","26",".38%"
"Native American","6",".10%","2",".17%","8",".12%"
"Asian","10",".17%","1",".08%","11",".16%"
"Data Unavailable","3",".05%","0",".00%","3",".04%"
"TOTAL","5716","100.00%","1192","100.00%","6908","100.00%"
