"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1261","60.13%","150","37.88%","1411","56.60%"
"White","820","39.10%","240","60.61%","1060","42.52%"
"Hispanic","8","0.38%","4","1.01%","12","0.48%"
"Native American","4","0.19%","0","0.00%","4","0.16%"
"Asian","2","0.10%","1","0.25%","3","0.12%"
"unknown","2","0.10%","1","0.25%","3","0.12%"
"TOTAL","2097","100.00%","396","100.00%","2493","100.00%"
