"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3337","62.75%","444","38.21%","3781","58.35%"
"White","1942","36.52%","706","60.76%","2648","40.86%"
"Hispanic","22",".41%","10",".86%","32",".49%"
"Native American","5",".09%","2",".17%","7",".11%"
"Asian","8",".15%","0",".00%","8",".12%"
"unknown","4",".08%","0",".00%","4",".06%"
"TOTAL","5318","100.00%","1162","100.00%","6480","100.00%"
