"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1191","59.76%","161","38.52%","1352","56.08%"
"White","785","39.39%","252","60.29%","1037","43.01%"
"Hispanic","10","0.50%","4","0.96%","14","0.58%"
"Native American","5","0.25%","1","0.24%","6","0.25%"
"Asian","2","0.10%","0","0.00%","2","0.08%"
"unknown","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","1993","100.00%","418","100.00%","2411","100.00%"
