"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","5196","61.75%","539","36.20%","5735","57.91%"
"White","3161","37.56%","936","62.86%","4097","41.37%"
"Hispanic","25",".30%","10",".67%","35",".35%"
"Native American","13",".15%","2",".13%","15",".15%"
"Asian","16",".19%","0",".00%","16",".16%"
"unknown","4",".05%","2",".13%","6",".06%"
"TOTAL","8415","100.00%","1489","100.00%","9904","100.00%"
