"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3604","66.47%","524","45.17%","4128","62.72%"
"White","1781","32.85%","627","54.05%","2408","36.58%"
"Hispanic","27",".50%","6",".52%","33",".50%"
"Native American","2",".04%","1",".09%","3",".05%"
"Asian","6",".11%","1",".09%","7",".11%"
"unknown","2",".04%","1",".09%","3",".05%"
"TOTAL","5422","100.00%","1160","100.00%","6582","100.00%"
