"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1506","60.31%","194","38.19%","1700","56.57%"
"White","974","39.01%","310","61.02%","1284","42.73%"
"Hispanic","8","0.32%","1","0.20%","9","0.30%"
"Native American","7","0.28%","3","0.59%","10","0.33%"
"Asian","2","0.08%","0","0.00%","2","0.07%"
"unknown","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2497","100.00%","508","100.00%","3005","100.00%"
