"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,078","70.14%","115","55.29%","1,193","68.37%"
"White","453","29.47%","92","44.23%","545","31.23%"
"Hispanic","3","0.20%","1","0.48%","4","0.23%"
"Native American","1","0.07%","0","0.00%","1","0.06%"
"Asian","2","0.13%","0","0.00%","21","0.11%"
"TOTAL","1,537","100.00%","208","100.00%","1,745","100.00%"
