"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4525","60.22%","385","31.66%","4910","56.24%"
"White","2926","817.00%","821","67.52%","3747","42.92%"
"Hispanic","35",".47%","6",".49%","41",".47%"
"Native American","9",".12%","3",".25%","12",".14%"
"Asian","16",".21%","1",".08%","17",".19%"
"unknown","3",".04%","0",".00%","3",".03%"
"TOTAL","7514","100.00%","1216","100.00%","8730","100.00%"
