"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1060","67.30%","126","56.76%","1186","66.00%"
"White","506","32.13%","95","42.79%","601","33.44%"
"Hispanic","8","0.51%","1","0.45%","9","0.50%"
"Native American","1","0.06%","0","0.00%","1","0.06%"
"Asian","0","0.00%","0","0.00%","01","0.00%"
"TOTAL","1575","100.00%","222","100.00%","1797","100.00%"
