"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3423","62.24%","464","37.94%","3887","57.82%"
"White","2035","37.00%","748","61.16%","2783","41.40%"
"Hispanic","23",".42%","9",".74%","32",".48%"
"Native American","4",".07%","2",".16%","6",".09%"
"Asian","11",".20%","0",".00%","11",".16%"
"Data Unavailable","4",".07%","0",".00%","4",".06%"
"TOTAL","5500","100.00%","1223","100.00%","6723","100.00%"
