"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4579","62.13%","410","34.86%","4989","58.38%"
"White","2734","37.10%","753","64.03%","3487","40.80%"
"Hispanic","29",".39%","10",".85%","39",".46%"
"Native American","10",".14%","1",".09%","11",".13%"
"Asian","15",".20%","2",".17%","17",".20%"
"unknown","3",".04%","0",".00%","3",".04%"
"TOTAL","7370","100.00%","1176","100.00%","8546","100.00%"
