"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1114","71.32%","121","57.08%","1235","69.62%"
"White","440","28.17%","90","42.45%","530","29.88%"
"Hispanic","4","0.26%","1","0.47%","5","0.28%"
"Native American","2","0.13%","0","0.00%","2","0.11%"
"Asian","2","0.13%","0","0.00%","22","0.11%"
"TOTAL","1562","100.00%","212","100.00%","1774","100.00%"
