"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4628","61.48%","429","34.29%","5057","57.60%"
"White","2839","37.71%","805","64.35%","3644","41.51%"
"Hispanic","34",".45%","13","1.04%","47",".54%"
"Native American","10",".13%","2",".16%","12",".14%"
"Asian","15",".20%","1",".08%","16",".18%"
"unknown","2",".03%","1",".08%","3",".03%"
"TOTAL","7528","100.00%","1251","100.00%","8779","100.00%"
