"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4288","63.28%","390","35.71%","4678","59.46%"
"White","2432","35.89%","686","62.82%","3118","39.63%"
"Hispanic","24",".35%","12","1.10%","36",".46%"
"Native American","12",".18%","2",".18%","14",".18%"
"Asian","16",".24%","1",".09%","17",".22%"
"unknown","4",".06%","1",".09%","5",".06%"
"TOTAL","6776","100.00%","1092","100.00%","7868","100.00%"
