"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4745","61.80%","426","34.33%","5171","57.98%"
"White","2866","37.33%","802","64.63%","3668","41.13%"
"Hispanic","37",".48%","11",".89%","48",".54%"
"Native American","11",".14%","1",".08%","12",".13%"
"Asian","17",".22%","1",".08%","18",".20%"
"unknown","2",".03%","0",".00%","2",".02%"
"TOTAL","7678","100.00%","1241","100.00%","8919","100.00%"
