race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
"Black","4,759","58.25%","358","28.08%","5,117","54.18%"
"White","3,336","817.00%","909","71.29%","4,245","44.94%"
"Hispanic","40",".49%","4",".31%","44",".47%"
"Native American","12",".15%","2",".16%","14",".15%"
"Asian","22",".27%","2",".16%","24",".25%"
"Data Unavailable","1","1.00%","0",".00%","1",".01%"
"TOTAL","8,170","100.00%","1,275","100.00%","9,445","100.00%"
