"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,189","72.77%","128","56.89%","1,317","70.84%"
"White","431","26.38%","96","42.67%","527","28.35%"
"Hispanic","12","0.73%","1","0.44%","13","0.70%"
"Native American","1","0.06%","0","0.00%","1","0.05%"
"Asian","1","0.06%","0","0.00%","11","0.05%"
"TOTAL","1,634","100.00%","225","100.00%","1,859","100.00%"
