"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,714","64.54%","502","41.69%","4,216","60.58%"
"White","2,005","34.84%","692","57.48%","2,697","38.76%"
"Hispanic","20",".35%","6",".50%","26",".37%"
"Native American","5",".09%","3",".25%","8",".11%"
"Asian","9",".16%","1",".08%","10",".14%"
"Data Unavailable","2",".03%","0",".00%","2",".03%"
"TOTAL","5,755","100.00%","1,204","100.00%","6,959","100.00%"
