"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","5180","62.42%","524","37.59%","5704","58.85%"
"White","3061","36.89%","858","61.55%","3919","40.44%"
"Hispanic","28",".34%","9",".65%","37",".38%"
"Native American","11",".13%","2",".14%","13",".13%"
"Asian","15",".18%","0",".00%","15",".15%"
"Data Unavailable","3",".04%","1",".07%","4",".04%"
"TOTAL","8298","100.00%","1394","100.00%","9692","100.00%"
