"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","4125","63.23%","381","35.84%","4506","59.39%"
"White","2345","35.94%","668","62.84%","3013","39.71%"
"Hispanic","28",".43%","10",".94%","38",".50%"
"Native American","11",".17%","2",".19%","13",".17%"
"Asian","12",".18%","1",".09%","13",".17%"
"unknown","3",".05%","1",".09%","4",".05%"
"TOTAL","6524","100.00%","1063","100.00%","7587","100.00%"
