"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","3164","67.20%","464","45.85%","3628","63.43%"
"White","1513","32.14%","542","53.56%","2055","35.93%"
"Hispanic","22","0.47%","2","0.20%","24","0.42%"
"Native American","2","0.04%","2","0.20%","4","0.07%"
"Asian","5","0.11%","1","0.10%","6","0.10%"
"unknown","2","0.04%","1","0.10%","3","0.05%"
"TOTAL","4708","100.00%","1012","100.00%","5720","100.00%"
