"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1,294","59.28%","165","36.34%","1,459","55.33%"
"White","871","39.90%","284","62.56%","1,155","43.80%"
"Hispanic","7","0.32%","3","0.66%","10","0.38%"
"Native American","9","0.41%","2","0.44%","11","0.42%"
"Asian","2","0.09%","0","0.00%","2","0.08%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2,183","100.00%","454","100.00%","2,637","100.00%"
