"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION POPULATION","count","percent_of_total"
"Black","1,087","73.35%","95","60.90%","1,182","72.16%"
"White","384","25.91%","61","39.10%","445","27.17%"
"Hispanic","10","0.67%","0","0.00%","10","0.61%"
"Native American","1","0.07%","0","0.00%","1","0.06%"
"Asian","0","0.00%","0","0.00%","01","0.00%"
"TOTAL","1,482","100.00%","156","100.00%","1,638","100.00%"
