"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","1221","59.88%","161","38.98%","1382","56.36%"
"White","799","39.19%","245","59.32%","1044","42.58%"
"Hispanic","9","0.44%","6","1.45%","15","0.61%"
"Native American","5","0.25%","0","0.00%","5","0.20%"
"Asian","3","0.15%","1","0.24%","4","0.16%"
"Data Unavailable","2","0.00%","0","0.00%","2","0.08%"
"TOTAL","2039","99.90%","413","100.00%","2452","100.00%"
