race,male,percent_of_male_pop,female,percent_of_female_pop,count,percent_of_total
"Black","4,690","58.41%","357","28.42%","5,047","54.35%"
"White","3,263","40.64%","892","71.02%","4,155","44.74%"
"Hispanic","45",".56%","3",".24%","48",".52%"
"Native American","11",".14%","2",".16%","13",".14%"
"Asian","20",".25%","2",".16%","22",".24%"
"Data Unavailable","1",".01%","0",".00%","1",".01%"
"TOTAL","8,030","100.00%","1,256","100.00%","9,286","100.00%"
