"Class","Combined
Male & Female","Percent"
"","76","0.32%"
"","75","0.31%"
"","16,669","69.47%"
"Y 0 1 2 3 4 5","1,609","6.71%"
"","1,837","7.66%"
"","556","2.32%"
"","149","0.62%"
"Verification Pending","3,025","12.61%"
"TOTAL","23,996","100.00%"
