"FEMALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"MOA","204","201","6","2","0","413"
"MORA","326","337","1","4","0","668"
"MOB","277","290","3","2","0","572"
"MORB","147","64","0","1","0","212"
"C","27","7","0","0","0","34"
"D","14","5","0","0","0","19"
"DR","0","3","0","0","0","3"
"Unclassified","198","280","2","2","1","483"
"TOTAL","1,193","1,187","12","11","1","2,404"
"%","49.63","49.38",".50",".46",".04","100.00"
