"CLASS","MALE AND FEMALE","%"
"MOA","3,545","14.23"
"MORA","4,794","19.26"
"MOB","6,427","25.81"
"MORB","4,451","17.88"
"C","2,373","9.53"
"D","720","2.89"
"DR","66",".27"
"Unclassified","2,521","10.13"
"TOTAL","24,897","100.00"
