"CLASS","FEMALE","%"
"MOA","413","17.19"
"MORA","668","27.79"
"MOB","572","23.79"
"MORB","212","8.82"
"C","34","1.41"
"D","19",".79"
"DR","3",".12"
"*Unclassified","483","20.09"
"TOTAL","2,404","100.00"
