"MALE","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","47","28","1","1","77",".34"
"1 - 2 Years","1,156","664","13","6","1,839","8.18"
"3 - 5 Years","3,675","1,931","26","18","5,650","25.14"
"6 - 10 Years","4,430","1,908","46","16","6,400","28.48"
"11 - 20 Years","3,210","1,105","36","6","4,357","19.39"
"21 -30 Years","807","236","8","2","1,053","4.69"
"Greater Than 30 Years","540","124","3","1","668","2.97"
"Life","1,323","472","5","4","1,804","8.03"
"Death","35","29","0","1","65",".29"
"Verification Pending","300","249","10","2","561","2.50"
"TOTAL","15,523","6,746","148","57","22,474","100.00"
