"RACE","MALE","FEMALE","","TOTAL","%"
"White","6,746","1,187","","7,933","31.86"
"Black","15,523","1,193","","16,716","67.14"
"Hispanic","148","12","","160",".64"
"Other","57","11","","68",".27"
"Unknown Race","19","1","","20",".08"
