"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"*Y","4","0","0","0","4"
"*0","4","2","0","0","6"
"1","11,658","4,434","107","44","16,243"
"2","1,822","1,030","14","7","2,873"
"3","1,005","482","6","3","1,496"
"4","301","200","2","0","503"
"5","61","54","0","0","115"
"Verification Pending","668","544","19","3","1,234"
"Unknown","0","0","0","19","19"
"TOTAL","15,523","6,746","148","76","22,493"
